position,special_char,upper_case,numeral,aggregate,length,significance,freq_score,proper_noun,noun,verb,named_entity,cue_phrases,centrality
0.84,0,0,0,0.28,0.025167785,378.7,13,0,9,4,0,0.02,0.012787163
0.84,0,1,4,0.33,0.025167785,680.63,14,0,13,0,5,0.04,0.011485951
0.84,0,1,4,0.32,0.05704698,496.96,32,0,16,11,4,0.03,0.010750467
0.84,0,0,2,0.3,0.018456376,409.77,10,0,7,2,2,0.01,0.01322748
0.84,0,0,6,0.33,0.060402685,820.33,36,0,10,11,11,0.03,0.011623142
0.84,0,1,2,0.29,0.043624161,638.51,23,1,13,6,6,0.02,0.012613069
0.83,0,0,3,0.31,0.021812081,852.08,13,0,6,4,5,0.02,0.013200885
0.83,0,0,2,0.27,0.010067114,1037.93,6,0,2,2,4,0.02,0.014277975
0.83,1,0,1,0.31,0.052013423,790.33,29,0,14,10,2,0.01,0.012779208
0.83,1,0,0,0.33,0.02852349,849.38,16,1,9,6,1,0.04,0.012372241
0.83,0,0,4,0.27,0.038590604,690.84,23,0,11,4,4,0.01,0.014449738
0.83,0,0,4,0.26,0.030201342,722.01,16,1,10,5,6,0.01,0.015633975
0.82,2,1,4,0.29,0.040268456,456.99,22,1,12,4,7,0.02,0.012524226
0.82,0,0,3,0.31,0.038590604,686.19,22,0,11,7,3,0.01,0.010455501
0.82,0,1,3,0.16,0.013422819,706.7,8,1,8,0,5,0.01,0.01322166
0.82,0,0,0,0.31,0.018456376,669.66,11,0,8,2,0,0.03,0.012970433
0.82,0,0,1,0.28,0.015100671,708.67,9,0,6,2,1,0.01,0.015258287
0.82,0,0,3,0.21,0.025167785,985.21,15,0,10,5,3,0.03,0.015113863
0.82,0,0,3,0.27,0.021812081,664.05,12,0,5,5,5,0.01,0.014646706
0.81,0,0,1,0.27,0.025167785,824.04,14,0,8,2,3,0,0.014798851
0.81,0,0,3,0.22,0.010067114,342.4,6,0,4,1,4,0,0.015598309
0.81,0,0,3,0.26,0.016778523,572.35,10,0,5,5,4,0,0.01550374
0.81,0,0,2,0.24,0.011744966,557.02,7,0,6,1,2,0.01,0.015620954
0.81,0,0,5,0.22,0.035234899,523.98,21,0,19,0,5,0.03,0.015408997
0.81,0,0,2,0.17,0.010067114,349.36,6,0,2,1,2,0,0.014699102
0.8,0,1,3,0.27,0.035234899,393.2,21,0,11,4,4,0.01,0.015448524
0.8,0,1,0,0.31,0.035234899,649.95,21,1,11,5,2,0.02,0.013096411
0.8,0,0,6,0.28,0.040268456,661.96,24,0,15,6,7,0.02,0.013706031
